mean_loss,mean_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0.0,0.55,0.8220465183258057,False,,,1,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-46,1623178906,0.8220465183258057,164835,timo-ThinkPad-P1,192.168.0.13,0.8220465183258057,0,1,942ba_00143
1.1920929e-07,0.5,0.08895134925842285,False,,,2,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-46,1623178906,0.9109978675842285,164835,timo-ThinkPad-P1,192.168.0.13,0.9109978675842285,0,2,942ba_00143
1.1920929e-07,0.5,0.1232144832611084,False,,,3,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-46,1623178906,1.034212350845337,164835,timo-ThinkPad-P1,192.168.0.13,1.034212350845337,0,3,942ba_00143
-2.3841858e-07,0.5,0.31294727325439453,False,,,4,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-46,1623178906,1.3471596240997314,164835,timo-ThinkPad-P1,192.168.0.13,1.3471596240997314,0,4,942ba_00143
-2.3841858e-07,0.5,0.10436201095581055,False,,,5,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-46,1623178906,1.451521635055542,164835,timo-ThinkPad-P1,192.168.0.13,1.451521635055542,0,5,942ba_00143
0.0,0.7,0.08837437629699707,False,,,6,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-46,1623178906,1.539896011352539,164835,timo-ThinkPad-P1,192.168.0.13,1.539896011352539,0,6,942ba_00143
0.0,0.675,0.08760905265808105,False,,,7,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-47,1623178907,1.6275050640106201,164835,timo-ThinkPad-P1,192.168.0.13,1.6275050640106201,0,7,942ba_00143
0.0,0.5,0.09686779975891113,False,,,8,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-47,1623178907,1.7243728637695312,164835,timo-ThinkPad-P1,192.168.0.13,1.7243728637695312,0,8,942ba_00143
0.0,0.5,0.08915567398071289,False,,,9,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-47,1623178907,1.8135285377502441,164835,timo-ThinkPad-P1,192.168.0.13,1.8135285377502441,0,9,942ba_00143
0.0,0.75,0.1188206672668457,False,,,10,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-47,1623178907,1.9323492050170898,164835,timo-ThinkPad-P1,192.168.0.13,1.9323492050170898,0,10,942ba_00143
